drug_id,batch_rfid,qr_code_id,hospital_id,region,supply_chain_event,stock_quantity,demand_quantity,status,expiry_date,temperature_celsius,cost_usd,compliance_score
D50000,D001DE41-343,5d9e73ee-d1ea-4ab2-ae1d-59a0fa66fdb7,H0075,South,Temperature_Alert,112,133,Shortage,1/2/2027,10.99,37.3,0.507
D50001,34A33136-029,11b10859-299e-4d9a-8001-899faec8fc2b,H0009,West,Delivered,445,275,Surplus,11/24/2027,4.04,148.77,0.924
D50002,C31F38DE-818,79cc6067-c0fc-458e-8660-667fbfb1bc4c,H0015,North,Temperature_Alert,358,93,Surplus,10/10/2027,8.34,59.23,0.833
D50003,2EAB831C-3FA,f2919049-b977-4305-8b43-cde41278d26f,H0092,Central,Received_From_Distributor,280,426,Shortage,10/29/2027,8.8,192.4,0.842
D50004,02140776-757,7b887fc9-5f51-4b7f-9c2f-8dc1578e5f73,H0030,Central,Delivered,116,174,Shortage,11/27/2026,4.08,197.67,0.573
D50005,8FCDF788-3A8,1edac4a9-b583-42f5-849a-831074ac74f2,H0044,Central,Requested_By_Pharmacy,81,132,Shortage,4/11/2027,4.35,185.65,0.71
D50006,A02BCB61-95C,48f22e48-d5f5-4947-8bfe-f6107008f2a3,H0023,North,Stored_In_Inventory,198,178,Surplus,12/8/2026,8.77,189.23,0.527
D50007,CA62719F-4E3,54ca7292-c522-4b28-b65b-e0adacd3a532,H0068,Central,Delivered,30,441,Shortage,12/29/2026,2.93,125.05,0.581
D50008,0A4F2515-F44,c875589d-8ca4-41f5-ac78-47edc7b76230,H0078,West,Delivered,112,30,Surplus,11/16/2026,10.44,139.96,0.472
D50009,649183AB-844,4965d8ce-d93b-421c-9255-cf3efe63031d,H0083,North,Quality_Checked,131,65,Surplus,1/13/2028,3.45,23.38,0.961
D50010,5ED1335F-AAC,288430df-cee7-4db9-9125-5d49eac81017,H0088,East,Received_From_Distributor,476,383,Surplus,10/31/2027,4.86,153.79,0.917
D50011,2A629361-FAB,61ffb4ee-feec-4555-80b9-b81b7ca851bf,H0057,East,Dispatched_For_Transfer,224,71,Surplus,1/20/2027,3.93,44.4,0.623
D50012,0AAB1160-E7B,deb2b006-8fcd-4b9d-ae68-3259bce53f76,H0045,Central,ColdChain_Validated,340,442,Shortage,4/14/2026,3.7,168.86,0.345
D50013,6D499D2F-84B,b3b32e3b-cc47-44f7-a976-73c594d45447,H0100,North,Requested_By_Pharmacy,468,410,Surplus,9/25/2026,11.77,192.5,0.395
D50014,3AEA259E-AEE,738ed010-58e6-48e6-be2f-3e52e9ac0ce4,H0071,West,Received_From_Distributor,97,30,Surplus,11/8/2026,3.79,46.41,0.549
D50015,9DCA396C-801,3b73ba90-7f71-4734-a472-20c8df691ba4,H0018,South,Expiry_Warning,382,87,Surplus,5/30/2027,7.36,20.22,0.723
D50016,AA777427-8C4,1837f015-524e-4f3f-8dce-5ec7f5826532,H0045,West,ColdChain_Validated,109,368,Shortage,10/31/2026,9.2,99.36,0.481
D50017,3076F165-904,be96926f-d667-4fd9-9c93-8edf77d39dcd,H0049,North,Requested_By_Pharmacy,369,371,Shortage,1/16/2028,1.46,159.35,0.924
D50018,F57B9482-37B,d270b315-373d-4448-b4bc-d9a9608fcc21,H0015,North,Dispatched_For_Transfer,161,64,Surplus,4/16/2027,10.7,155.27,0.614
D50019,7381B2F8-6C6,b8479470-afe7-49d4-8af2-2957b77cb667,H0047,West,Received_From_Distributor,140,43,Surplus,5/16/2026,2.68,140.88,0.356
D50020,17FC0670-C2A,36e7c097-464a-48ff-b3de-a0a6640b8704,H0005,North,Expiry_Warning,159,127,Surplus,3/15/2027,7.47,165.04,0.647
D50021,42D9AEAC-168,edbf6f3d-447c-4182-9308-6372c5954a10,H0100,Central,ColdChain_Validated,318,296,Surplus,10/13/2027,8.05,39.12,0.842
D50022,74280ECC-FEF,29fc0352-5479-41ed-a206-c617bccc0648,H0062,Central,Stored_In_Inventory,267,281,Shortage,8/16/2027,7.93,132.13,0.788
